impl,workload_label,num_nodes,num_ops,time_us
UF-Rand,union_heavy,1000000,10000000,191617
UF-Rand,find_heavy,1000000,10000000,196533
UF-Rand,union_heavy,1000000,10000000,187310
UF-Rand,find_heavy,1000000,10000000,194769
UF-Rand,union_heavy,1000000,10000000,187114
UF-Rand,find_heavy,1000000,10000000,195200
UF-Rand,union_heavy,1000000,10000000,192958
UF-Rand,find_heavy,1000000,10000000,192420
UF-Rand,union_heavy,1000000,10000000,194835
UF-Rand,find_heavy,1000000,10000000,193751
UF-Rand,union_heavy,1000000,10000000,188010
UF-Rand,find_heavy,1000000,10000000,193333
UF-Rand,union_heavy,1000000,10000000,188732
UF-Rand,find_heavy,1000000,10000000,191763
UF-Rand,union_heavy,1000000,10000000,187759
UF-Rand,find_heavy,1000000,10000000,194204
UF-Rand,union_heavy,1000000,10000000,189447
UF-Rand,find_heavy,1000000,10000000,192902
UF-Rand,union_heavy,1000000,10000000,192311
UF-Rand,find_heavy,1000000,10000000,193442
UF-Rand,union_heavy,1000000,10000000,192705
UF-Rand,find_heavy,1000000,10000000,197227
UF-Rand,union_heavy,1000000,10000000,198461
UF-Rand,find_heavy,1000000,10000000,195325
UF-Rand,union_heavy,1000000,10000000,194222
UF-Rand,find_heavy,1000000,10000000,197887
UF-Rand,union_heavy,1000000,10000000,188066
UF-Rand,find_heavy,1000000,10000000,198573
UF-Rand,union_heavy,1000000,10000000,197893
UF-Rand,find_heavy,1000000,10000000,197595
UF-Rand,union_heavy,1000000,10000000,193041
UF-Rand,find_heavy,1000000,10000000,194532
UF-Rand,union_heavy,1000000,10000000,190053
UF-Rand,find_heavy,1000000,10000000,198535
UF-Rand,union_heavy,1000000,10000000,195030
UF-Rand,find_heavy,1000000,10000000,197005
UF-Rand,union_heavy,1000000,10000000,189698
UF-Rand,find_heavy,1000000,10000000,199419
UF-Rand,union_heavy,1000000,10000000,198408
UF-Rand,find_heavy,1000000,10000000,197267
UF-Rand,union_heavy,1000000,10000000,194670
UF-Rand,find_heavy,1000000,10000000,196363
UF-Rand,union_heavy,1000000,10000000,187498
UF-Rand,find_heavy,1000000,10000000,192986
UF-Rand,union_heavy,1000000,10000000,189391
UF-Rand,find_heavy,1000000,10000000,199104
UF-Rand,union_heavy,1000000,10000000,191615
UF-Rand,find_heavy,1000000,10000000,196757
UF-Rand,union_heavy,1000000,10000000,193890
UF-Rand,find_heavy,1000000,10000000,205228
UF-Rand,union_heavy,1000000,10000000,189097
UF-Rand,find_heavy,1000000,10000000,199748
UF-Rand,union_heavy,1000000,10000000,188817
UF-Rand,find_heavy,1000000,10000000,195737
UF-Rand,union_heavy,1000000,10000000,194531
UF-Rand,find_heavy,1000000,10000000,198324
UF-Rand,union_heavy,1000000,10000000,191283
UF-Rand,find_heavy,1000000,10000000,196603
UF-Rand,union_heavy,1000000,10000000,192386
UF-Rand,find_heavy,1000000,10000000,196392
